,KERTAS KERJA MV_TS_Modifikasi Status Rack In PMT EGA / VD4,,,,,,,EGA,,,TOTAL,PIC UPT koordinasi dengan ULTG,,,73,"102,82%"
,,,,,,,,71,,,71,,,,16,"22,54%"
NO,UPT,ULTG,NAMA GI,BAY,TEG_OPRS,PHASA,TGL_OPRS,THN_BUAT,BUATAN,MERK,TIPE,Rencana tanggal ,Realisasi tanggal,LInk Laporan ,Status,Keterangan
36,UPT DURIKOSAMBI,ULTG ANGKE,GIS 150KV GROGOL,TRF#2 150/22kV (INC),20,RST,24/02/2025 0:00:00,2023,INDONESIA,EGA,CK-2000,30 Agu 2026,,,Open,
37,UPT DURIKOSAMBI,ULTG CITRA RAYA,GI 150KV JATAKE,TRF#1 150/22kV (INC),20,RST,11/08/2024 0:00:00,2023,INDONESIA,EGA,CK-2000,09 Agu 2026,,,Open,
38,UPT DURIKOSAMBI,ULTG CITRA RAYA,GI 150KV JATAKE,TRF#2 150/22kV (INC),20,RST,09/07/2024 0:00:00,2023,INDONESIA,EGA,CK-2000,08 Okt 2026,,,Open,
39,UPT DURIKOSAMBI,ULTG CITRA RAYA,GI 150KV JATAKE,TRF#3 150/22kV (INC),20,RST,03/11/2021 0:00:00,2019,INDONESIA,EGA,CK-2000,29 Sep 2026,,,Open,
40,UPT DURIKOSAMBI,ULTG CITRA RAYA,GI 150KV MAXIMANGANDO,TRF#1 150/20kV (INC),20,RST,26/02/2023 0:00:00,2024,INDONESIA,EGA,CK-2000,05 Sep 2026,,,Open,
41,UPT DURIKOSAMBI,ULTG CITRA RAYA,GI 150KV MAXIMANGANDO,TRF#2 150/20kV (INC),20,RST,28/01/2026 0:00:00,2024,INDONESIA,EGA,CK-2000,23 Agu 2026,,,Open,
42,UPT DURIKOSAMBI,ULTG DURIKOSAMBI,GI 150KV DURIKOSAMBI,TRF#1 150/20kV (INC),20,RST,26/02/2002 0:00:00,2001,INDONESIA,EGA,CK-2000,10 Sep 2026,,,Open,
43,UPT DURIKOSAMBI,ULTG DURIKOSAMBI,GI 150KV DURIKOSAMBI,TRF#2 150/20kV (INC),20,RST,05/11/1994 0:00:00,1993,INDONESIA,EGA,CK-2000,28 Sep 2026,,,Open,
44,UPT DURIKOSAMBI,ULTG DURIKOSAMBI,GI 150KV DURIKOSAMBI,TRF#5 150/20kV (INC),20,RST,23/12/2016 0:00:00,2015,INDONESIA,EGA,CK-2000,08 Sep 2026,,,Open,
45,UPT DURIKOSAMBI,ULTG DURIKOSAMBI,GIS 150KV KEMBANGAN,TRF#1 150/22kV (INC),20,RST,01/01/2021 0:00:00,2020,INDONESIA,EGA,CK-2000,19 Sep 2026,,,Open,
46,UPT DURIKOSAMBI,ULTG DURIKOSAMBI,GIS 150KV KEMBANGAN,TRF#2 150/22kV (INC),20,RST,11/01/2024 0:00:00,2020,INDONESIA,EGA,CK-2000,26 Sep 2026,,,Open,
47,UPT DURIKOSAMBI,ULTG DURIKOSAMBI,GIS 150KV KEMBANGAN,TRF#3 150/22kV (INC),20,RST,01/01/2019 0:00:00,2018,INDONESIA,EGA,CK-2000,03 Okt 2026,,,Open,
48,UPT GANDUL,ULTG GANDUL,GI 150KV GANDUL,TRF#1 150/22kV (INC),20,RST,01/01/2016 0:00:00,2016,INDONESIA,EGA,CK-2000,19 Sep 2026,,,Open,
49,UPT GANDUL,ULTG GANDUL,GI 150KV GANDUL,TRF#2 150/20kV (INC),20,RST,01/01/2016 0:00:00,2016,INDONESIA,EGA,CK-2000,19 Sep 2026,,,Open,
50,UPT GANDUL,ULTG GANDUL,GI 150KV GANDUL,TRF#3 150/20kV (INC),20,RST,01/09/2016 0:00:00,2016,INDONESIA,EGA,CK-2000,26 Sep 2026,,,Open,
51,UPT GANDUL,ULTG PETUKANGAN,GI 150KV PETUKANGAN,TRF#1 150/20kV (INC),20,RST,21/01/2025 0:00:00,2025,INDONESIA,EGA,CK-2000,,,,Open,
52,UPT GANDUL,ULTG PETUKANGAN,GI 150KV PETUKANGAN,TRF#2 150/20kV (INC),20,RST,21/04/2026 0:00:00,2023,INDONESIA,EGA,CK-2000,08 Agu 2026,08 Agu 2026,,Close,
53,UPT GANDUL,ULTG PETUKANGAN,GI 150KV PETUKANGAN,TRF#3 150/22kV (INC),20,RST,21/01/2025 0:00:00,2017,INDONESIA,EGA,CK-2000,,,,Open,
54,UPT GANDUL,ULTG PETUKANGAN,GIS 150KV GANDARIA,TRF#2 150/22kV (INC),20,RST,15/04/2022 0:00:00,2016,INDONESIA,EGA,CK-2000,,,,Open,
55,UPT GANDUL,ULTG TANGERANG SELATAN,GI 150KV LEGOK,TRF#2 150/20kV (INC),20,RST,20/03/2023 0:00:00,1995,INDONESIA,EGA,CK-2000,,,,Open,
56,UPT GANDUL,ULTG TANGERANG SELATAN,GI 150KV SERPONG,TRF#2 150/22kV (INC),20,RST,21/07/2018 0:00:00,2018,INDONESIA,EGA,CK-2000,,,,Open,
57,UPT PULOGADUNG,ULTG ANCOL,GI 150KV KEMAYORAN,TRF#1 150/20kV (INC),20,RST,26/10/2018 0:00:00,2018,INDONESIA,EGA,CK-2000,,,,Open,
58,UPT PULOGADUNG,ULTG ANCOL,GI 150KV KEMAYORAN,TRF#2 150/22kV (INC),20,RST,26/10/2018 0:00:00,2018,INDONESIA,EGA,CK-2000,16 Jul 2026,16 Jul 2026,,Close,
59,UPT PULOGADUNG,ULTG ANCOL,GI 150KV PLUMPANG,TRF#1 150/20kV (INC),20,RST,28/12/2016 0:00:00,2016,INDONESIA,EGA,CK-2000,03 Agu 2026,,,Open,
60,UPT PULOGADUNG,ULTG ANCOL,GI 150KV PLUMPANG,TRF#2 150/22kV (INC),20,RST,23/01/2017 0:00:00,2016,INDONESIA,EGA,CK-2000,,,,Open,
61,UPT PULOGADUNG,ULTG ANCOL,GI 150KV PLUMPANG,TRF#3 150/20kV (INC),20,RST,29/11/2017 0:00:00,2017,INDONESIA,EGA,CK-2000,,,,Open,
62,UPT PULOGADUNG,ULTG ANCOL,GI 150KV PLUMPANG,TRF#4 150/20kV (INC),20,RST,01/08/2018 0:00:00,2018,INDONESIA,EGA,CK-2000,,,,Open,
63,UPT PULOGADUNG,ULTG HARAPAN INDAH,GI 150KV BEKASI,TRF#1 150/20kV (INC),20,RST,17/03/2022 0:00:00,2019,INDONESIA,EGA,CK-2000,20 Agu 2026,20 Agu 2026,,Close,bersamaan penggantian ds rell#4
64,UPT PULOGADUNG,ULTG HARAPAN INDAH,GI 150KV BEKASI,TRF#2 150/20kV (INC),20,RST,01/04/2019 0:00:00,2018,INDONESIA,EGA,CK-2000,01 Okt 2026,,,Open,bersamaan dengan pemindahan kwh
65,UPT PULOGADUNG,ULTG HARAPAN INDAH,GIS 150KV MARUNDA,TRF#1 150/22kV (INC),20,RST,13/02/2020 0:00:00,2019,INDONESIA,EGA,CK-2000,01 Okt 2026,,,Open,
66,UPT PULOGADUNG,ULTG PULOGADUNG,GI 150KV GAMBIR BARU,TRF#1 150/22kV (INC),20,RST,23/12/2017 0:00:00,2017,INDONESIA,EGA,CK-2000,23 Sep 2026,,,Open,
67,UPT PULOGADUNG,ULTG PULOGADUNG,GI 150KV GAMBIR BARU,TRF#2 150/20kV (INC),20,RST,19/03/2025 0:00:00,2024,INDONESIA,EGA,CK-2000,24 Sep 2026,,,Open,
68,UPT PULOGADUNG,ULTG PULOGADUNG,GI 150KV GAMBIR BARU,TRF#3 150/20kV (INC),20,RST,25/04/2025 0:00:00,2024,INDONESIA,EGA,CK-2000,30 Sep 2026,,,Open,
69,UPT PULOGADUNG,ULTG PULOGADUNG,GI 150KV GAMBIR BARU,TRF#4 150/22kV (INC),20,RST,28/02/2024 0:00:00,2023,INDONESIA,EGA,CK-2000,15 Sep 2026,,,Open,
70,UPT PULOGADUNG,ULTG PULOGADUNG,GIS 150KV PULOMAS,TRF#1 150/20kV (INC),20,RST,02/04/2020 0:00:00,2019,INDONESIA,EGA,CK-2000,08 Sep 2026,,,Open,
71,UPT PULOGADUNG,ULTG PULOGADUNG,GIS 150KV PULOMAS,TRF#3 150/20kV (INC),20,RST,19/12/2019 0:00:00,2019,INDONESIA,EGA,CK-2000,09 Sep 2026,,,Open,
